Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]
1372629804,2,5851.9989,87.7799835,1.5,8218624,1034592.8,160.8666667,21.73333333,0.266666667,1.466666667
1372630104,2,5851.9989,29.2599945,0.5,8218624,458575.4667,0,2.333333333,0.2,1
1372630404,2,5851.9989,27.3093282,0.466666667,8218624,184548,32.06666667,4.2,0.133333333,1.066666667
1372630704,2,5851.9989,23.4079956,0.4,8218624,78292.26667,0,0.866666667,0.066666667,1
1372631004,2,5851.9989,19.506663,0.333333333,8218624,167772,0,0.2,0.133333333,1
1372631304,2,5851.9989,29.2599945,0.5,8218624,39146.13333,0,0.266666667,0.2,1
1372631604,2,5851.9989,29.2599945,0.5,8218624,173363.2,0,0.4,0.2,1
1372631904,2,5851.9989,29.2599945,0.5,8218624,95068.8,0,0.2,0.533333333,1
1372632204,2,5851.9989,29.2599945,0.5,8218624,145401.8667,0,0.2,0.333333333,1
1372632504,2,5851.9989,19.506663,0.333333333,8218624,11184.8,0,1,0.4,1.133333333
1372632804,2,5851.9989,27.3093282,0.466666667,8218624,134216.2667,0,0.2,0.4,1
1372633104,2,5851.9989,29.2599945,0.5,8218624,78292.8,0,0.2,0.2,1
1372633404,2,5851.9989,29.2599945,0.5,8218624,117440.2667,0,0.466666667,0.333333333,1
1372633704,2,5851.9989,25.3586619,0.433333333,8218624,150994.4,0,0.2,0.066666667,1
1372634004,2,5851.9989,27.3093282,0.466666667,8218624,139808.5333,0,0.2,0,1
1372634304,2,5851.9989,29.2599945,0.5,8218624,83884,0,0.2,0.066666667,1
1372634604,2,5851.9989,29.2599945,0.5,8218624,100661.6,0,0.2,0.2,1
1372634903,2,5851.9989,25.3586619,0.433333333,8218624,212510.1333,0,0.2,0.133333333,1
1372635203,2,5851.9989,11.7039978,0.2,8218624,100661.3333,0,1.066666667,0.2,1
1372635503,2,5851.9989,29.2599945,0.5,8218624,117439.2,0,0.6,0.4,1.133333333
1372635803,2,5851.9989,29.2599945,0.5,8218624,117439.2,0,0.2,0.333333333,1
1372636103,2,5851.9989,25.3586619,0.433333333,8218624,190140.8,0,0.2,0.266666667,1
1372636403,2,5851.9989,25.3586619,0.433333333,8218624,201324.8,0,0.2,0.266666667,1
1372636703,2,5851.9989,29.2599945,0.5,8218624,128624.2667,0,0.2,0,1
1372637004,2,5851.9989,29.2599945,0.5,8218624,106254.4,0,0.466666667,0.266666667,1
1372637304,2,5851.9989,29.2599945,0.5,8218624,100661.6,0,0.266666667,0.133333333,1
1372637604,2,5851.9989,29.2599945,0.5,8218624,184548,0,0.266666667,0.2,1
1372637904,2,5851.9989,29.2599945,0.5,8218624,190140.5333,0,0.266666667,0.066666667,1
1372638204,2,5851.9989,29.2599945,0.5,8218624,195732.5333,0,12.66666667,0.133333333,1
1372638504,2,5851.9989,29.2599945,0.5,8218624,156586.4,0,0.266666667,0.133333333,1
1372638804,2,5851.9989,25.3586619,0.433333333,8218624,117439.7333,0,0.733333333,0.266666667,1
1372639104,2,5851.9989,21.4573293,0.366666667,8218624,111846.4,0,0.466666667,0.333333333,1
1372639404,2,5851.9989,27.3093282,0.466666667,8218624,162178.6667,0,0.733333333,0.6,1.066666667
1372639704,2,5851.9989,29.2599945,0.5,8218624,167770.6667,0,0.2,0.266666667,1
1372640004,2,5851.9989,29.2599945,0.5,8218624,78291.73333,0,0.2,0.333333333,1
1372640304,2,5851.9989,27.3093282,0.466666667,8218624,39145.86667,0,0.2,0.2,1
1372640604,2,5851.9989,29.2599945,0.5,8218624,111846.9333,0,0.133333333,0.2,1
1372640904,2,5851.9989,27.3093282,0.466666667,8218624,95069.86667,0,0.133333333,0,1
1372641204,2,5851.9989,29.2599945,0.5,8218624,162178.9333,0,0.133333333,0.133333333,1
1372641504,2,5851.9989,29.2599945,0.5,8218624,61515.2,0,0.214285714,0.133333333,1
1372641804,2,5851.9989,29.2599945,0.5,8218624,123031.2,0,0.666666667,0.2,1.066666667
1372642104,2,5851.9989,29.2599945,0.5,8218624,156585.8667,0,0.266666667,0.133333333,1
1372642404,2,5851.9989,29.2599945,0.5,8218624,72700.26667,0,0.214285714,0.2,1
1372642704,2,5851.9989,27.3093282,0.466666667,8218624,22369.6,0,0.2,0.333333333,1
1372643005,2,5851.9989,29.2599945,0.5,8218624,78293.6,0,0.2,0.266666667,1
1372643305,2,5851.9989,23.4079956,0.4,8218624,33553.6,0,0.2,0.333333333,1
1372643605,2,5851.9989,29.2599945,0.5,8218624,89477.86667,0,0.2,0.266666667,1
1372643905,2,5851.9989,29.2599945,0.5,8218624,111846.9333,0,0.133333333,0.066666667,1
1372644205,2,5851.9989,29.2599945,0.5,8218624,83884,0,0.2,0.133333333,1
1372644505,2,5851.9989,29.2599945,0.5,8218624,95069.86667,0,0.2,0.133333333,1
1372644805,2,5851.9989,29.2599945,0.5,8218624,106254.1333,0,0.266666667,0.133333333,1
1372645105,2,5851.9989,29.2599945,0.5,8218624,162178.6667,0,0.2,0.133333333,1
1372645405,2,5851.9989,29.2599945,0.5,8218624,117438.6667,0,0.133333333,0.466666667,1.133333333
1372645705,2,5851.9989,23.4079956,0.4,8218624,61516,0,0.266666667,0.2,1
1372646005,2,5851.9989,25.3586619,0.433333333,8218624,95070.13333,0,0.866666667,0.466666667,1.066666667
1372646305,2,5851.9989,27.3093282,0.466666667,8218624,67107.2,0,0.2,0.466666667,1.066666667
1372646605,2,5851.9989,29.2599945,0.5,8218624,134216.8,0,0.2,0.266666667,1
1372646905,2,5851.9989,29.2599945,0.5,8218624,100661.6,0,0.2,0.333333333,1
1372647205,2,5851.9989,29.2599945,0.5,8218624,139808,0,0.2,0.4,1
1372647505,2,5851.9989,29.2599945,0.5,8218624,134216,0,0.2,0.2,1
1372647805,2,5851.9989,29.2599945,0.5,8218624,117438.4,0,0.2,0.133333333,1
1372648105,2,5851.9989,29.2599945,0.5,8218624,95069.06667,0,0.533333333,0.066666667,1.133333333
1372648405,2,5851.9989,29.2599945,0.5,8218624,83884,0,1,0,1
1372648705,2,5851.9989,29.2599945,0.5,8218624,44738.13333,0,0.2,0.2,1
1372649005,2,5851.9989,29.2599945,0.5,8218624,117440,0,0.2,0.133333333,1
1372649305,2,5851.9989,29.2599945,0.5,8218624,123032,0,0.266666667,0.2,1
1372649605,2,5851.9989,29.2599945,0.5,8218624,100662.6667,0,0.2,0.133333333,1
1372649905,2,5851.9989,29.2599945,0.5,8218624,67108,0,0.2,0.333333333,1.066666667
1372650205,2,5851.9989,29.2599945,0.5,8218624,117438.9333,0,0.2,0.266666667,1
1372650505,2,5851.9989,29.2599945,0.5,8218624,128623.7333,0,0.133333333,0.066666667,1
1372650805,2,5851.9989,19.506663,0.333333333,8218624,111846.4,0,0.2,0.133333333,1
1372651105,2,5851.9989,25.3586619,0.433333333,8218624,0,0,0.2,0.133333333,1
1372651405,2,5851.9989,25.3586619,0.433333333,8218624,206918.6667,0,0.2,0.2,1
1372651705,2,5851.9989,29.2599945,0.5,8218624,262842.1333,0,0.866666667,0.133333333,1.066666667
1372652006,2,5851.9989,29.2599945,0.5,8218624,206917.8667,0,0.266666667,0.133333333,1
1372652306,2,5851.9989,29.2599945,0.5,8218624,190140.2667,0,0.133333333,0.2,1
1372652606,2,5851.9989,29.2599945,0.5,8218624,234879.2,0,0.2,0.2,1
1372652906,2,5851.9989,27.3093282,0.466666667,8218624,123030.9333,0,0.2,0.266666667,1
1372653206,2,5851.9989,29.2599945,0.5,8218624,89477.06667,0,0.2,0.266666667,1
1372653506,2,5851.9989,29.2599945,0.5,8218624,5592.266667,0,0.4,0.333333333,1.066666667
1372653806,2,5851.9989,29.2599945,0.5,8218624,123031.4667,0,0.133333333,0.266666667,1
1372654106,2,5851.9989,29.2599945,0.5,8218624,89476.8,0,0.2,0.2,1
1372654406,2,5851.9989,29.2599945,0.5,8218624,95069.06667,0,0.6,0.333333333,1.066666667
1372654706,2,5851.9989,25.3586619,0.433333333,8218624,72699.46667,0,0.2,0.066666667,1
1372655006,2,5851.9989,29.2599945,0.5,8218624,128624.2667,0,0.133333333,0.066666667,1
1372655306,2,5851.9989,29.2599945,0.5,8218624,128624.8,0,0.2,0.066666667,1
1372655606,2,5851.9989,29.2599945,0.5,8218624,162178.6667,0,0.266666667,0.066666667,1
1372655906,2,5851.9989,29.2599945,0.5,8218624,11184.53333,0,0.2,0.133333333,1
1372656206,2,5851.9989,29.2599945,0.5,8218624,39145.86667,0,0.2,0.066666667,1
1372656506,2,5851.9989,29.2599945,0.5,8218624,145400.8,0,0.266666667,0.066666667,1
1372656806,2,5851.9989,29.2599945,0.5,8218624,134216.5333,0,0.2,0.133333333,1
1372657106,2,5851.9989,29.2599945,0.5,8218624,128623.2,0,0.2,0.2,1
1372657406,2,5851.9989,27.3093282,0.466666667,8218624,83884,0,0.2,0.2,1
1372657706,2,5851.9989,29.2599945,0.5,8218624,117439.2,0,0.8,0.2,1.066666667
1372658006,2,5851.9989,29.2599945,0.5,8218624,111846.6667,0,0.2,0.133333333,1
1372658306,2,5851.9989,29.2599945,0.5,8218624,83884.8,0,0.2,0.133333333,1
1372658606,2,5851.9989,29.2599945,0.5,8218624,83884,0,1.133333333,0.2,1.066666667
1372658906,2,5851.9989,27.3093282,0.466666667,8218624,139808.5333,0,0.2,0.066666667,1
1372659206,2,5851.9989,27.3093282,0.466666667,8218624,117438.4,0,0.2,0.266666667,1
1372659506,2,5851.9989,29.2599945,0.5,8218624,106254.6667,0,0.2,0.2,1
1372659806,2,5851.9989,29.2599945,0.5,8218624,95069.6,0,0.133333333,0.266666667,1.066666667
1372660106,2,5851.9989,29.2599945,0.5,8218624,123032,0,0.266666667,0.2,1
1372660407,2,5851.9989,25.3586619,0.433333333,8218624,55923.46667,0,0.133333333,0.2,1
1372660707,2,5851.9989,25.3586619,0.433333333,8218624,134216,0,0.733333333,0.333333333,1.066666667
1372661007,2,5851.9989,29.2599945,0.5,8218624,95068.8,0,0.2,0.2,1
1372661307,2,5851.9989,29.2599945,0.5,8218624,173362.4,0,0.2,0.066666667,1
1372661607,2,5851.9989,27.3093282,0.466666667,8218624,100661.6,0,0.133333333,0.066666667,1
1372661907,2,5851.9989,13.6546641,0.233333333,8218624,83884,0,0.133333333,0.066666667,1
1372662207,2,5851.9989,19.506663,0.333333333,8218624,89476.53333,0,0.133333333,0.2,1
1372662507,2,5851.9989,19.506663,0.333333333,8218624,111846.6667,0,0.266666667,0.133333333,1
1372662807,2,5851.9989,15.6053304,0.266666667,8218624,89477.33333,0,0.2,0.066666667,1
1372663107,2,5851.9989,327.7119384,5.6,8218624,318765.8667,0,0.866666667,6.533333333,19.6
1372663407,2,5851.9989,29.2599945,0.5,8218624,341134.9333,0,0.466666667,0.133333333,1
1372663707,2,5851.9989,29.2599945,0.5,8218624,162177.8667,0,0.133333333,0.066666667,1
1372664007,2,5851.9989,25.3586619,0.433333333,8218624,123030.9333,0,0.2,0.133333333,1
1372664307,2,5851.9989,21.4573293,0.366666667,8218624,195733.0667,0,1.333333333,0.2,1
1372664607,2,5851.9989,21.4573293,0.366666667,8218624,145401.6,0,1.466666667,0.2,1.133333333
1372664907,2,5851.9989,29.2599945,0.5,8218624,296396.8,0,0.2,0.2,1
1372665207,2,5851.9989,29.2599945,0.5,8218624,234879.7333,0,0.2,0.266666667,1
1372665508,2,5851.9989,29.2599945,0.5,8218624,173364,0,0.333333333,0.266666667,1
1372665808,2,5851.9989,25.3586619,0.433333333,8218624,206917.0667,0,0.2,0.133333333,1
1372666108,2,5851.9989,29.2599945,0.5,8218624,178956,0,0.133333333,0.133333333,1
1372666408,2,5851.9989,25.3586619,0.433333333,8218624,117439.2,0,0.2,0.133333333,1
1372666708,2,5851.9989,17.5559967,0.3,8218624,72700.53333,0,0.133333333,0.2,1
1372667008,2,5851.9989,27.3093282,0.466666667,8218624,139809.0667,0,0.533333333,0.333333333,1.066666667
1372667307,2,5851.9989,25.3586619,0.433333333,8218624,195732.5333,0,0.2,0.133333333,1
1372667607,2,5851.9989,85.8293172,1.466666667,8218624,167771.2,0,0.733333333,2.533333333,7.533333333
1372667907,2,5851.9989,226.2772908,3.866666667,8218624,318765.8667,0,0.666666667,4.666666667,13.73333333
1372668207,2,5851.9989,222.3759582,3.8,8218624,799712.2667,0,0.266666667,3.2,10.73333333
1372668507,2,5851.9989,327.7119384,5.6,8218624,503314.9333,0,0.933333333,21,21.13333333
1372668807,2,5851.9989,130.6946421,2.233333333,8218624,492130.4,0,0.266666667,2.466666667,7.8
1372669107,2,5851.9989,21.4573293,0.366666667,8218624,162179.2,0,0.133333333,0.2,1
1372669407,2,5851.9989,29.2599945,0.5,8218624,240472.8,0,0.2,0.6,1.333333333
1372669707,2,5851.9989,13.6546641,0.233333333,8218624,111846.6667,0,0.133333333,0.133333333,1
1372670007,2,5851.9989,23.4079956,0.4,8218624,83884,0,0.2,0.2,1
1372670307,2,5851.9989,29.2599945,0.5,8218624,100661.6,0,0.333333333,0.2,1
1372670607,2,5851.9989,29.2599945,0.5,8218624,100661.8667,0,0.133333333,0.066666667,1
1372670907,2,5851.9989,29.2599945,0.5,8218624,111846.1333,0,0.2,0.066666667,1
1372671207,2,5851.9989,29.2599945,0.5,8218624,67107.2,0,0.2,0.2,1
1372671508,2,5851.9989,21.4573293,0.366666667,8218624,128624.5333,0,0.2,0.2,1
1372671808,2,5851.9989,17.5559967,0.3,8218624,145401.6,0,1,0.2,1.066666667
1372672108,2,5851.9989,21.4573293,0.366666667,8218624,162178.6667,0,0.2,0.266666667,1
1372672408,2,5851.9989,21.4573293,0.366666667,8218624,190140.8,0,0.2,0.2,1
1372672708,2,5851.9989,9.7533315,0.166666667,8218624,33553.6,0,0.133333333,0.066666667,1
